,내용,분류,명사토큰
1006,안녕하세요지금 10학점을 듣고있는데겨울계절 3학점을 들으면2학기에 13학점 이수한걸로 되서국가장학금 받을수있나요?국장기준이 12학점인걸로 알고있습니다,8,지금 학점 겨울 계절 학점 학기 학점 걸 국가장학금 국장 기준 학점 인걸
1007,안녕하세요 지금 하고 있는 이중전공을 부전공으로 변경하고 싶은데 이중전공 변경기간에 해야하는건가요 부전공 신청기간에 해야하는건가요??,2,지금 이중 전공 부 전공 변경 이중 전공 변경 기간 가요 부 전공 신청 기간 가요
1008,원래 씨플이라서 재수강하려던 강의재수강에서 에프받으면 에프처리되나요 씨플처리되나요...? ㅜㅜ수고많으셔요,6,원래 씨플 재수강 강의 재수강 에프 에프 처리 씨 처리 수고
1009,안녕하세요 조교님!올해 19년도에 편입한 학생입니다. 편입생은 졸업까지 이수해야될 학점이 54학점(전공) + 10학점(전공 또는 교양)이 맞나요?그리고 제가 전적대 전공 인정학점을 20학점(국제지역대학)을 받았는데 그러면 졸업까지 몇학점을 들어야하나요?,8,조교 올해 편입 학생 편입 생 졸업 이수 학점 학점 전공 학점 전공 교양 이 제 전적 전공 인정 학점 학점 국제 지역 대학 졸업 학점
1010,조교님~안녕하세요!지금 부전공이 A인데 이중전공 변경을 하려면 부전공 취소 후에 변경해야 하나요? 아니면 취소 안해도 변경만 하면 부전공은 자동으로 취소되나요?,2,조교 지금 부전 공이 이중 전공 변경 부 전공 취소 후 변경 하나요 취소 안해 변경 부 전공 자동 취소
1011,"조교님, 안녕하세요!질문하나드릴게요.제가 다음 학기를 후기이중때문에 추가학기로 등록합니다.이때 초수강학점이 아닌 재수강 학점만으로 등록할 수 있나요?(아직 졸업하기위해서 5학점정도 남았지만 내년 1학기에 안듣고 2학기에 들을 생각입니다.)",1,조교 질문 제 다음 학기 후기 이중 때문 추가 학기 등록 때 초 수강 학점 재수강 학점 등록 수 졸업 위해 학점 정도 내년 학기 학기 생각
1012,"안녕하세요 조교님!현재 저는 2-1학기까지 다니고 휴학을 했습니다. 그리고 내년 2학기에 파견 신청을 하려고 하는데요, 만약 내년 1학기에(파견 바로 전 학기)도 휴학을 하였다 비로 파견을 떠나는 게 가능할까요?",1,조교 현재 저 학기 휴학 내년 학기 파견 신청 만약 내년 학기 파견 바로 전 학기 도 휴학 비 파견 게 요
1013,경영학 단일전공 전공심화로 하고있는데   다른 절차없이 70학점만 채우고 자선으로 채우면 졸업요건에 맞는건가요?,7,경영학 단일 전공 심화 다른 절차 학점 자선 졸업 요건 가요
1014,등록휴학 여부를 종합정보시스템에서 확인하는 방법이 있을까요?,9,등록 휴학 여부 종합정보시스템 확인 방법
1015,조교님 안녕하세요! 교환학생 가서 들은 과목을 외대에서 교환 가기 이전에 들었던 과목에 재수강 연결할 수 있나요? 교환학생 가서 재수강이 가능한지가 궁금합니다.,6,조교 교환학생 과목 외대 교환 가기 이전 과목 재수강 수 교환학생 재수강
1016,조교님 안녕하세요!8학기 마치고 휴학했는데 제가 졸업이수학점을 헷갈려 134가 아니라 132를 들었더라고요 ㅜㅜ이럴 경우 2학기를 채울 수 있는 방법이 무엇이 있을까요? 겨울에 계절학기를 듣는게 제일 나을까요?감사합니다!,1,조교 학기 마치 휴학 제 졸업 학점 를 경우 학기 수 방법 무엇 겨울 계절 학기 제일
1017,"조교님! 안녕하세요! 헷갈리는 것이 있어서 질문 남깁니다.저는 현재 19학년도 2학기 (3-2)를 재학 중에 있고,겨울 계절학기를 들은 후 20학년도 1학기를 휴학하려 합니다.이 경우에는 겨울 계절학기 학점 인정이 가능한가요?",1,조교 것 질문 저 현재 학년 학기 를 재학 중 겨울 계절 학기 후 학년 학기 휴학 이 경우 겨울 계절 학기 학점 인정이
1018,조교님 안녕하세요!혹시 패스페일 수업을 최대 몇학점까지 들을수있다는 제한이 있나요??한 학기가 아니라 전체학기 통틀어서요!,1,조교 혹시 패스 페일 수업 최대 학점 제한 학기 전체 학기 통틀어 서요
1019,"조교님 안녕하세요!혹시 타학교 학점교류를 하려면 과사에 가서 신청을 하고 허가를 받기만 하면 되는건가요? 어디에도 잘 나와있지 않아 여쭤봅니다..ㅠㅜ 그리고 혹시 타학교에서 학점이수를 하면 이중,부전공,전공심화 셋중에 하나를 안해도 되나요?",2,조교 혹시 학교 학점교류 과사 신청 허가 가요 어디 혹시 학교 학점 이수 이중 부 전공 전공 심화 셋 하나 안해
1020,안녕하세요 조교님!유고 결석 처리하려면 뭘 해야되나요? 병원에서 어떤 서류를 받아오면 되나요??,3,조교 유고 결석 처리 뭘 병원 서류
1021,조교님! 항상 수고가 많으십니다다름이 아니라제가 등록휴학으로 군휴학을 한 상태인데전역후 바로 1년 휴학을 할 예정입니다.등록비 납부 된것이 그대로 유지되서 1년후 복학할때 등록금 납부를 안해도 되는건가요???,9,조교 항상 수고 제 등록 휴학 군 휴학 상태 전역 후 바로 휴학 예정 등록 비 납부 그대로 유지 복학 때 등록금 납부 안해 가요
1022,조교님 안녕하세요. 질문라나 드리려고합니다.저는 14학번입니다. 현재  7학기 재학후 휴학 중이며  실용외국어를 한 학기도 이수하지 않았습니다.졸업을 위하여 실용외국어를 FLEX 점수로 대체하려고 하는데 정기플렉스 시험에 응시하여 소정의 점수를 취득하여 졸업사정 전 제출하면 문제가 없는 것인지 여쭤보고 싶습니다.,7,조교 질문 라나 저 학번 현재 학기 재학 후 휴학 중이 실용 외국어 학기 이수 졸업 위 실용 외국어 점수 대체 정기 플렉스 시험 응시 소정 점수 취득 졸업 사정 전 제출 문제 것 보고
1023,"안녕하세요 조교님!저는 내년 2월 졸업 예정자인 상태인데 flex와 토익 점수 제출기한이 언제인지, 어디서 확인할 수 있는지 알고싶습니다!",7,조교 저 내년 졸업 예정자 상태 토익 점수 제출 기한 언제 확인 수
1024,안녕하세요 조교님!경영학과 이중전공의 경우 어학성적 등의 조건이 있다고 알고있습니다. 부전공우로 하면 그 조건이 없는걸로 알고 있는데 만약 변경신청하여 이중전공으로 올리면 그래도 그 조건은 상관 없는건가요?,2,조교 경영학 이중 전공 경우 어학 성적 등 조건 부전 공우 그 조건 는걸 알 만약 변경 신청 이중 전공 그 조건 상관 가요
1025,"안녕하세요 조교님! 제가 지금 일학년인데 중간고사 끝나고 얼마 안있다가 이중전공 신청기간이라고 알고있습니다. 그런데 토익과 같은 어학성적 조건이 있는 과의 경우, 언제까지 그 조건을 취득해야하나요? 12월에 있는 토익시험에 응시하여 점수를 얻으면 이중전공 신청에 지장이 없을까하구요!",5,조교 제 지금 일학년 중간고사 얼마 이중 전공 신청 기간 토익 어학 성적 조건 경우 언제 그 조건 취득 토익시험 응시 점수 이중 전공 신청 지장
1026,안녕하세요 조교님훕커디 1을 듣고 또 2를 신청할 수 있나요?하나만 들어야되는건 알고 있습니다,3,조교 훕 또 를 신청 수 하나 알
1027,안녕하세요 조교님내후년에 교환학생을 가려고 하는데요신청 기간은 언제인가요?,3,조교 내후년 교환학생 신청 기간 언제
1028,"안녕하세요 조교님,직전학기 휴학 + 계절로 졸업할 수 있는 방법은 없나요?",1,조교 직전 학기 휴학 계절 졸업 수 방법
1029,"조교님 안녕하세요교양 32학점이 졸업 요건이잖아요,제가 현재 교양 31학점 채웠고 자선 2학점을 채웠는데 이 자선도 교양학점에 포함되는건가요??",8,조교 교양 학점 졸업 요건 제 현재 교양 학점 자선 학점 이 자선 교양 학점 포함 가요
1030,"안녕하세요 조교님. 제가 장학관련 제출하는 서류에 성적증명서 2019학년 1학기를 요구하는데, 제가 무인발급기에서 뽑으니 이때까지의 전체 성적이 모두 뜨더군요. 저번학기 성적증명서를 뽑을 수 있나요? 뽑을 수 있다면 어디서 뽑을 수 있을까요?",1,조교 제 장학 관련 제출 서류 성적 증명서 학년 학기 요구 제 무인 발급 기 때 전체 성적 모두 저번 학기 성적 증명서 수 수 수
1031,안녕하세요 조교님!혹시 수료생일때도 도서관 이용기준이 졸업생과 같은가요??,3,조교 혹시 수료 생일 때 도서관 이용 기준 졸업생
1032,"조교님 안녕하세요,수강신청 취소 기간이 지난 것은 인지하고 있으나사정상 강의 하나를 못 듣게 될 것 같습니다.이럴 경우에는 F를 받고 후에 재수강하는 것 외에는 방법이 없을까요?",3,조교 수강신청 취소 기간 지난 것 인지 정상 강의 하나 못 것 경우 를 후 재수강 것 외 방법
1033,"안녕하세요 조교님 수고 많으십니다!휴학생이라면 복학하기 직전 계절학기를 수강 할 수 있는 것으로 알고 있습니다. 그런데 계절학기를 수강한 후에 개인적인 사정으로 복학을 하지 못하거나, 복학을 했는데 다시 중도휴학을 하게 되면 직전에 수강한 계절학기 성적은 어떻게 되는지 문의드립니다..!ㅠㅜ",1,조교 수고 휴학생 라면 복학 직전 계절 학기 수강 수 것 알 계절 학기 수강 후 개인 사정 복학 못 거나 복학 다시 중도 휴학 직전 수강 계절 학기 성적 문의
1034,조교님 안녕하세요혹시 같은 단과대학의 학과로 부전공 신청이 가능한가요?예를들면 중국외교통상학과 전공자가 중국언어문화전공을 부전공 신청 하는거요!!,2,조교 혹시 단과대학 학과 부 전공 신청 를 중국 외교 통상 학과 전공자 중국 어문 전공 부 전공 신청
1035,"조교님 안녕하세요! 이중전공을 신청하지 않은 상태로 2-1까지 다니고 현재 휴학중인데요, 나중에 복학하고 그 학기에 이중전공을 신청하면 성적평균이 어떻게 들어가는지 궁금해요! 세학기 평균이 반영되는건가요? 그 다음학기에 신청을 하게된다면 네학기 평균이 반영되고 이런 식인건지 여쭤봅니다",5,조교 이중 전공 신청 상태 현재 휴학 요 나중 복학 그 학기 이중 전공 신청 성적 평균 학기 평균 반영 가요 그 다음 학기 신청 학기 평균 반영 식인
1036,조교님제발도와주세요ㅠㅠㅠㅠ 등록기간을 놓쳤는데 방법이 없을까요ㅠㅠ,3,조교 제발 등록 기간 방법
1037,"안녕하세요 조교님 학과 내 장학금 관련 논란이 있어 이에 대해 객관적인 곳에 문의하려고 하는데 장학금을 관리, 감수하는 곳이 어딘가요?",3,조교 학과 내 장학금 관련 논란 이 대해 객관 곳 문의 장학금 관리 감수 곳 어딘가
1038,안녕하세요 조교님!이중전공을 A->B로 이미 변경을 한 상태인데혹시 B를 다시 부전공으로 변경 신청 가능한가요?,2,조교 이중 전공 로 변경 상태 혹시 를 다시 부 전공 변경 신청
1039,"조교님 안녕하세요, 현재 4-2인데 9학점을 남겨놓은 상태입니다.. 제가 졸업 학점 이수를 착각하고 이번에 원서를 지원했는데, 혹시 만약 붙게되면 졸업을 못하게 될까요...? 6학기는 여름 계절로 들으면 3학점만 남는데, 졸업 할 수 있는 방안이 있을까요...?읽어주셔서 감사합니다!",8,조교 현재 학점 상태 제 졸업 학점 이수 착각 이번 원서 지원 혹시 만약 면 졸업 요 학기 여름 계절 학점 졸업 수 방안
1040,"안녕하세요 조교님,서울캠 어문계열 전공하는 재학생입니다.제가 이번 학기에 고등학교에서 대학생 멘토링 활동을 하게 되었는데 봉사시간을 준다고 해서요.이 봉사시간을 대학에서 인정받으려면 어디로 가서 인정 절차를 밟아야 할까요?사회봉사라는 교양수업이 있던데 그걸로 봉사시간 대신 학점을 채울 수도 있나요?검색을 해봐도 못 찾겠고 1학년이라서 어디에 문의를 드려야 할지 감이 안 와서 여기에라도 여쭤봅니다ㅠ아 교직이수는 하지 않습니다!긴 글 읽어주셔서 감사합니다. 늘 도움 많이 받고 있어요!?????♀??????♂?",0,조교 서울 캠 어문 계열 전공 재학생 제 이번 학기 고등학교 대학생 멘토링 활동 봉사 시간 이 봉사 시간 대학 어디 인정 절차 요 사회 봉사 교양 수업 걸 봉사 시간 대신 학점 수도 검색 못 학년 어디 문의 감 안 여기 교직이수 글 늘 도움
1041,조교님 안녕하세요! 저는 이번 2019년 1학기 교환을 다녀왔는데 그게 3-2학기였습니다. 그리고 이번학기는 휴학을 하고 있습니다. 학점인정 절차 안내 공문에서 ‘외국 대학 수학학기 종료 후 반드시 1개 학기 이내에 성적증명서와 학점인정증명서를 학사종합지원센터에 제출해야합니다’라고 나와있는데 1개 학기 이내의 의미를 잘 모르겠습니다..학점인정을 꼭 지금 받아야 하나요? 내년에 복학 후 받으면 안되나요?,1,조교 저 이번 학기 교환 그게 학기 이번 학기 휴학 학점 인정 절차 안내 공문 외국 대학 수학 학기 종료 후 반드시 개 학기 이내 성적 증명서 학점 인정 증명서 학사 종합 센터 제출 개 학기 이내 의미 학점 인정 꼭 지금 하나요 내년 복학 후
1042,안녕하세요 조교님! 교환학생 학점인정 관련으로 문의드립니다. 만약 패스하지 못한 과목도 인정신청서에 다 적어야 하는 건가요.?,4,조교 교환학생 학점 인정 관련 문의 만약 패스 못 과목 인정 신청서 건가
1043,안녕하세요! 첨부해둔 이미지에 적혀있는 것처럼 할 수 있을까요??,0,첨부 이미지 것 수
1044,안녕하세요 조교님!이중전공을 이미 2번 변경한 상태인데혹시 이중전공을 취소하고 단일전공으로 변경할 수 있나요?감사합니다!,2,조교 이중 전공 번 변경 상태 혹시 이중 전공 취소 전공 변경 수
1045,"조교님 안녕하세요!현재 9학기 중이고 3학점을 들으면서 취준하고 있는데 체험형 인턴도 지원해보려고 합니다.에타에 찾아보니 취업계는 채용연계가 증명되어야만 가능하다고 해서요, 그럼 혹시 공식적으로 취업계를 받지 않고 교수님께 양해를 구하고 출석을 인정 받는 경우는 가능한가요?",3,조교 현재 학기 중이 학점 취준 체험 인턴 지원 에타 취업 채용 계 증명 혹시 공식 취업 교수 양해 구 출석 인정 경우
1046,안녕하세요 조교님! 궁금한게 있어서 하나만 물어봐도 될까요 ㅜㅜ 자비유학을 가게되면 우리학교 등록금이랑 그쪽 학교 등록금 둘다 내야하는 거잖아요! 그럼 혹시 우리학교 등록금에서는 국가장학금이나 면학장학금이 나올까요...?? 원래 1분위 떠서 등록금은 다 면제되는 상황이거든요 ㅜㅜ 그리고 만약에 유학을 갔다오게된다면 유학 갔다온 다음학기는 국가장학금이나 면학장학금이 나올까요?? 감사합니다!,3,조교 하나 요 자비 유학 가게 우리 학교 등록금 쪽 학교 등록금 내야 거 혹시 우리 학교 등록금 국가장학금 면학 장학금 요 원래 등록금 면제 상황 만약 유학 유학 온 다음 학기 국가장학금 면학 장학금 요
1047,"안녕하세요 조교님! 이중전공에 대해 여쭤보려고 하는데 이중 하려면 두 학기 34학점을 넘겨야 한다 얼핏 들은 것 같습니다 근데 이것 말고는 자세한 정보를 몰라서 ㅠㅠ 혹시 이중을 2학년 2학기 때 하려면 1학년 2학기, 2학년 1학기 학점을 합치는 건가요??",1,조교 이중 전공 대해 이중 두 학기 학점 얼핏 것 것 정보 혹시 이중 학년 학기 때 학년 학기 학년 학기 학점 건가
1048,안녕하세요 조교님 이중전공은 무조건 2학년 때만 신청할 수 있나요? 3학년 때 신청할 수도 있나요?,5,조교 이중 전공 무조건 학년 때 신청 수 학년 때 신청 수도
1049,안녕하세요 조교님.. 14학번 이전인데 세미나 4개를 반드시 들어야 하는 것으로 알고 있습니다. 근데 제가 그 중 3개밖에 못들었는데 찾아보니 훕커디라는 과목으로 대체를 해야 하는 것 같더군요. 근데 제가 이미 8학기가 지났는데 새로 등록해서 들어야 할 것 같은데. 제가 찾아보기로는 이 과목이 1학점으로 알고 있는데 그럼 학기 등록하려면 학비가 얼마로 적용되는 건가요.,4,조교 학번 이전 세미나 개 반드시 것 알 제 그 중 개 훕커디 과목 대체 것 제 학기 등록 것 제 이 과목 학점 알 학기 등록 학비 얼마 적용 건가
1050,안녕하세요 조교님.플렉스 대체를 하려고 하는데 제가 실영1만 들은 상태입니다. 이런경우에 대체하게되면 실영1 성적 그대로 두고 4학점 추가취득이 아니라 실영1 성적조정+2학점 추가 취득이 맞는거죠? 동일 언어입니다!,0,조교 플렉스 대체 제 실영 상태 경우 대체 면 실영 성적 그대로 학점 추가 취득 실영 성적 조정 학점 추가 취득 동일 언어
1051,에타 조교님 안녕하세요! 면학장학금 관련해서 질문이 있습니다. 지금까지 면장을 받았는데 이번에 드랍기간에 수업늘 드랍하면 13학점이라 정확하게 최저 이수 학점과 관련하여 면장 이수 조건을 알고 싶습니다. 국장처럼 면장도 재수강 제외하고 12학점 이상이면 되나요?,8,에타 조교 면학 장학금 관련 질문 지금 면장 이번 드랍기간 수업 늘 드랍하 학점 최저 이수 학점 관련 면장 이수 조건 알 국장 면장 재수강 제외 학점 이상 이면
1052,안녕하세요. 조교님 현재 저는 3-2재학중입니다. 제가 통대라서 전공학점 70학점을 채워야하는데 3-1때까지 67학점을 채웠고 여름계절로 6을 채웠는데 이렇게되먄 합이 73인데 그럼 나머지 2학점은 자선으로 넘어가나요? 아니면 전공이기때문에 전공학점으로 남나요?,8,조교 현재 저 재학 제 통 전공 학점 학점 때 학점 여름 계절 먄 합 나머지 학점 자선 이기 때문 학점
1053,겨울방학 어학연수 다녀오면 학교에서 내논 프로그램이 아니어도 과사에 문의해서 수락되면 학점인정되는건가요?,0,겨울방학 어학 연수 학교 프로그램 과사 문의 수락 학점 인정 가요
1054,조교님! 제가 수강신청 학점이 6학점이고 지금 휴학중이긴 상태입니다 근데 등록금도 내지 않았는데 출석을 자꾸 부르신다고 하세요! 근데 제가 지금 수강신청 취소를 하러 들어가니 12학점 이상 들어야 한다며 삭제가 안됩니다 ㅠㅠ 어떻게 해야 할까요?,8,조교 제 수강신청 학점 학점 지금 휴학 상태 등록금 내지 출석 자꾸 제 지금 수강신청 취소 학점 이상 삭제 요
1055,조교님 안녕하세요현재 전공51/이중33/교양32/교직4 = 120을 들었는데 교직포기예정입니다.이럴 경우 졸업까지 전공3/이중9/자선2만 더 들으면 교직이 알아서 자선으로 넘어가지면서 수료 되나요?,2,조교 현재 전공 이중 교양 교직 교직 포기 예정 경우 졸업 전공 이중 자선 더 교직 자선 수료
1056,"조교님 안녕하세요.작년에 들은 수업을 현재 재수강하고 있습니다.그런데 이 수업이 작년에는 3학점이었는데, 올해부터는 4학점짜리 수업으로 바뀌었네요.이 경우 이번 학기 이 수업을 이수하면, 기존 제가 수료한 학점에서 1점이 추가되는 건가요?",8,조교 작년 수업 현재 재수강 이 수업 작년 학점 올해 학점 수업 이 경우 이번 학기 이 수업 이수 기존 제 수료 학점 점 추가 건가
1057,조교님 안녕하세요. 수고가 많으십니다. 혹시 재수강하고하자하는 수업을 드랍하게 되면 재수강 가능 학점이 줄어들거나 이전에 수강했던 동일 과목이 사라지나요?,6,조교 수고 혹시 재수강 하자 수업 드랍하 재수강 가능 학점 이전 수강 동일 과목
1058,"에타조교님 안녕하세요 고생 많으십니다!4-2학기 소수어과(졸업 요건=플렉스 점수, 졸시 없음)이고 이중전공이 아닌 부전공입니다.이번 학기를 끝으로 필수 이수 학점을 모두 채우게 되는데, 졸업 유예를 하고자 합니다.그렇다면 1. 이번 학기에 전공어 플렉스 시험 통과 후 제출하고 토익 성적은 제출하지 않으면 자동으로 유예가 되는 것 (수료생)2. 졸업하고자 할 때에 맞춰 나중에 토익성적 제출 (제출 시점 기준으로 점수가 만료되면 안됨)+신입생 때 실용영어를 영어 플렉스 점수로 대체한 것은 졸업요건으로 제출한 것이 아니므로 졸업과는 무관3. 졸업이렇게 되는 것이 맞는지 확인차 혹시 몰라 질문드립니다.좋은 하루 되세요!",7,에타 조교 고생 학기 소수어 졸업 요건 플렉스 점수 이중 전공 부 전공 이번 학기 끝 필수 이수 학점 모두 졸업 유예 이번 학기 전공 플렉스 시험 통과 후 제출 토익 성적 제출 자동 유예 것 수료 생 졸업 때 나중 토익 성적 제출 제출 시점 기준 점수 만료 신입생 때 실용 영어 영어 플렉스 점수 대체 것 졸업 요건 제출 것 졸업 무관 졸업 것 확인 차 혹시 질문 하루
1059,취업 유교결석계 질문합니다! 내가 올해 플렉스 점수를 넘지 못할거같아서... 근데 취업은 할거같거든요내년에 등록을 해야만 플렉스를 제출할 수 있잖아요. 첫날부터 취업유교결석계 제출하는거 가능한가요??,0,취업 유교 결석 질문 내 올해 플렉스 점수 취업 내년 등록 플렉스 제출 수 첫날 취업 유교 결석 제출
1060,"조교님!저는 영미문학문화학과 부전공하고 있는데요,작년 겨울 계절 시간표를 보니전공으로 개설되어 있는데 비고란에 저렇게 쓰여있더라구요.그럼 이번 겨울 계절에 제가 '전공'으로 되어있는 과목을 신청해도부전공 3학점으로 인정되는건가요?아니면 부전공은 불가한지요?",2,조교 저 영미문학 문화 학과 부 전공 작년 겨울 계절 시간표 전공 개설 비고 란 이번 겨울 계절 제 전공 과목 신청 도부 전공 학점 인정 가요 부 전공
1061,겨울방학단기연수 델라웨어 대학에서 학점받는거말고 그냥 일반 어학당에서 개인이 신청해도 허락만받으면 방학동안 학점이수되나요?,8,겨울방학 단기 연수 델라웨어 대학 학점 그냥 일반 어학 개인 신청 허락 방학 동안 학점 이수
1062,학석사연계로 인한 7+1 취소안녕하세요? 에타조교님. 저는 다음학기에 7+1 우선선발로 가게 되었습니다. 하지만 학석사연계과정 학점이 좀 애매하게 되어서 취소하려고 하는데 불이익은 없나요?,3,학 사연 취소 에타 조교 저 다음 학기 우선 선발 가게 학 사연 과정 학점 좀 취소 불이익
1063,현재 학점3점인데 2학년2학기입니다. 부전공으로 상경을 한다음에 이중으로 올리고싶은데 절차가 어떻게되나요?,2,현재 학점 점 학년 학기 부 전공 상경 다음 이중 절차
1064,조교님 안녕하세요! 7+1 제도 관련해서 문의 드립니다:)칠쁠일을 통해서 갈 수 있는 해외 대학들 명단과 필요한 어학성적 등은 어디서 볼 수 있나요?학교 홈페이지를 찾아봐도 자매대학(?)들은 나오는데 교환학생제도와 관련된 것이라 그게 칠쁠일에도 똑같이 적용되는지는 잘 모르겠더라구요...,0,조교 제도 관련 문의 칠쁠일 통해 수 해외 대학 명단 어학 성적 등 볼 수 학교 홈페이지 자매 대학 교환학생 제도 관련 것 그게 칠쁠일 적용
1065,안녕하세요다음 여름학기에 코트라 인턴을 지원하고자합니다제가 현재 해외에서 계절학기로 6학점 정규 교환학생으로 15학점을 이수했습니다. 이제 국내외 교류로 인정가능한 학점이 14학점이  남았습니다. 코트라로 지원시 반드시  국내외교류로 받을 수있는 학점이 15학점이상 남아 있어야 하는지 궁금합니다. 아니면 저 같은 경우 14학점만 받고 1학점은 포기 가능한지 궁금합니다.  저는 1학점정도는 포기하더라도 꼭 하고 싶어서 여쭤봅니다,8,요다음 여름 학기 코트라 인턴 지원 제 현재 해외 계절 학기 학점 정규 교환학생 학점 이수 이제 국내외 교류 인정 학점 학점 코트라 원시 반드시 국내외 교류 수 학점 학점 이상 남아 저 경우 학점 학점 포기 저 학점 정도 포기 꼭
1066,안녕하세요 조교님! 제가 아직 부전공을 이중전공으로 올리지 못해서 이중으로 올리는 것을 염두에 두고 미리 수업을 수강하고 있는데 이번 학기가 끝나면 부전공 취득 학점이 20학점을 초과하게 됩니다 그렇게 되면 부전공 잉여 학점은 어디로 가나요? 자선 학점은 6학점 이미 다 채운 상태입니다... 후에 이중으로 변경할 시 수강 학점을 인정받지 못하는 상황이 생길까봐 여쭈어봅니다ㅜㅜ,8,조교 제 부 전공 이중 전공 리지 이중 것 염두 미리 수업 수강 이번 학기 부 전공 취득 학점 학점 초과 부 전공 잉여 학점 어디 가나 자선 학점 학점 채운 상태 후 이중 변경 시 수강 학점 상황
1067,글캠 1학기 예비군 못받았는데 2학기는 일정이 어떻게 되는지 어디서 볼 수 있을까요???,1,글캠 학기 예비군 학기 일정 볼 수
1068,안녕하세요 조교님! 14학번의 실용외국어 플렉스 대체에 관해서 여쭤보고 싶습니다! 저의 현재 이중전공이 영어통번역학부인데 이번에 플렉스 영어 성적으로 실용외국어를 대체하려합니다. 제1전공과 상관 없는 언어이면 플렉스 영어 점수 제출로 실용외국어 학점 대체 가능할까요??,0,조교 학번 실용 외국어 플렉스 대체 관해 보고 저 현재 이중 전공 영어 통 번역 학부 이번 플렉스 영어 성적 실용 외국어 대체 제 전공 상관 언어 이면 플렉스 영어 점수 제출 실용 외국어 학점 대체 요
1069,안녕하세요! 현재 1학년 2학기다니고 있는데 이번 겨울방학에 영미권으로 어학연수를 가고싶습니다. 궁금한게 있는데 1.학점상관없이 성적이 낮아도 갈수있나요?2.어학연수를 간다면 돈은 그쪽 대학교?어학당?에 개인적으로 내야하는건가요?3.겨울방학에 어학연수간거도 6학점이 인정된다고 들은거같은데 맞나요?,0,현재 학년 학기 이번 겨울방학 영미권 어학 연수 학점 성적 어학 연수 간다 돈 쪽 대학교 어학 개인 내야 가요 겨울방학 어학 연수 거도 학점 인정 거
1070,조교님 원래 인원이 80명인데 13명정도 듣는다면 b유형으로 바뀔까요??,3,조교 원래 인원 명 명정 유형 요
1071,"안녕하세요!제가 c+ 받은 A라는 과목을 동일과목 말고, B라는 다른 과목으로 연결해서 재수강을 하게 된다면성적증명서에는 A는 사라지고 B만 보여지나요?16학번입니다!",4,제 과목 동일 과목 다른 과목 재수강 성적 증명서 만 학번
1072,"조교님 안녕하세요??교양 학점 관련해서 여쭤보고싶어서요!!저는 16학번이고, 아직 각 영역별 1과목 이수가 안돼있는 상태입니다!! 과학과 기술 부분만 들으면 되는데이때 동그라미 친 부분처럼 3개 이상의 영역에서 6학점으로 아예 바뀐것인가요? 아니면 원래처럼 각 영역별 1과목 이수만해도 괜찮은건가요???",4,조교 교양 학점 관련 저 학번 각 영역 별 과목 이수 상태 과학 기술 부분 때 동그라미 친 부분 개 이상 영역 학점 아예 원래 각 영역 별 과목 이수만 건가
1073,"고생하십니다 조교님.혹시 2학기 이중전공 변경이 가능한지, 그리고 가능하다면 언제쯤 가능할지 여쭤볼 수 있을까요?",2,고생 조교 혹시 학기 이중 전공 변경 언제 볼 수
1074,"조교님 안녕하세요!등록 최소학점이 12학점인데, 재수강을 12학점 안에 포함해도 되나요?",8,조교 등록 최소 학점 학점 재수강 학점 안 포함
1075,안녕하세요 조교님!이중전공 관련 질문 드려요 예를 들어 제가 이중전공 1지망을 경제로 하고 2지망을 행정으로 했을 때 만약 1지망에서 안되고 2지망 이중이 선발된다면 경제 부전공은 못하는건가요??행정 이중을 포기하고 바로 경제 부전공이 가능한지 궁금해서요!,2,조교 이중 전공 관련 질문 예 제 이중 전공 지망 경제 지망 행정 때 만약 지망 지망 이중 선발 경제 부 전공 가요 행정 이중 포기 바로 경제 부전 공이
1076,내년 1학기에  4학년 2학기를 재학예정인데장학금사유(고시장학금)가 3월 중순쯤 생기면 장학금은 못받는건가요?,1,내년 학기 학년 학기 재학 예정 장학금 사유 고시 장학금 중순 생기 장학금 가요
1077,조교님 안녕하세요다름이 아니라 제가 마이크로소프트에서 대학생들에게 무료로 제공하는 워드같은 것을 깔으려고 하는데 학교 메일로 인증메일이 오지 않아서요...ㅠ 저희 학교는 사용할 수 없는 혜택인가요...?,3,조교 제 마이크로소프트 대학생 무료 제공 워드 것 학교 메일 인증 메일 오지 저희 학교 사용 수 혜택
1078,조교님 안녕하세요!제가 현재 휴학중인데 복학하려고 수강신청을 했다가 갑작스럽게 한학기 더 휴학하게 되어 수강변경기간에 드랍을 못했어요ㅠㅠ 이거 수강취소기간에 다 드랍할 수 있나요?공지사항보니까 12학점 이하로 남으면 안된다고 하던데... 복학 신청은 아직 안넣었어요,9,조교 제 현재 휴학 복학 수강신청 학기 더 휴학 강변 기간 드랍 거 수강 취소 기간 드랍할 수 사항 보 학점 이하 복학 신청
